# family|sentiment|persona|tags|text
d028|u|gen|mx|cooker ka lid damaged hai, aur delivery bhi 3 din late thi
d028|u|gen|mx|late aaya aur upar se lid tedha hai, replace karo
d029|n|gen|-|seal tooti hui thi, kisi ne use kiya hua product bheja
d029|n|gen|-|used item bheja aur seal khuli thi, fraud lag raha hai
d030|u|st|-|phn ka back cover crack h
d030|u|st|-|cover tuta hua aya
d030|u|st|-|bhai case pe crack aaya hai delivery me
d031|p|hw|ng|koi shikayat nahi, bas ek plate tooti thi, woh bhej dena
d031|p|hw|ng|naraz nahi hu, bas dinner set ki ek katori chatki hui hai
d032|n|sk|af|dukaan ka poora saman damage, customer ko kya bechu, bahut nirash hu
d032|n|sk|-|resell ke liye mangwaya tha, aadha maal toota, business barbaad
d033|u|pro|ns|refund process mat karo, warranty ke under repair ya replacement do
d033|u|pro|ns|return nahi karna hai, warranty claim ke through fix karo
d034|u|el|nn|press on nahi ho raha, bijli toh aa rahi hai
d034|u|el|-|beta istri garam nahi ho rahi, naya hai
d035|p|gen|pr|love your fast delivery 🚀 bas bottle ka dhakkan toota hua mila, replace kar do
d035|p|gen|pr|app bahut acchi hai, ek chhota sa damage hai, badal dijiye
d036|n|gen|-|dent wala fridge bheja aur installation wala bola chalta hai, bilkul nahi chalega
d036|n|gen|af|fridge pe dent, technician bolta ignore karo, chidh gaya hu
d037|u|gen|nn|replacement wala piece bhi theek nahi hai, same issue
d037|u|gen|nn|doosra piece bhi sahi nahi aaya, wahi crack
d038|u|hw|-|bacche ka toy car ka pahiya nikla hua aaya
d038|u|hw|-|khilone ka ek part toota hai, baccha ro raha hai
d039|n|ar|-|replacement bhi toota aaya, ab tum logon pe bharosa nahi
d039|n|ar|-|do baar toota item, teesri baar mangwane ki himmat nahi
d040|p|st|af|exchange mein naya headphone mast aaya, khush hu 😄
d040|p|st|-|replacement perfect hai, thanks for fixing it
d041|u|gen|-|sofa ka fabric fata hua hai ek side se
d041|u|gen|-|sofa cover pe cut hai delivery ke waqt ka
d042|n|gen|-|kitchen scale ki screen blank aur body tooti, paisa barbaad
d042|n|gen|-|scale tooti hui aur kaam bhi nahi karti, ghatiya
d043|u|sk|mx|damaged stock ka credit note chahiye, replacement ki zarurat nahi
d043|u|sk|mx|toota maal wapas le jao aur agle bill mein adjust kar do
d044|p|el|ng|koi pareshani nahi hui replacement mein, beta aapne sab samjha diya
d044|p|el|ng|tension nahi hai, naya dabba aa gaya theek se, dhanyavaad
d045|u|gen|ns|repair wala mat bhejo, direct naya unit chahiye kyunki body cracked hai
d045|u|gen|ns|technician mat bhejna, crack body hai toh replace hi karo
d046|u|pro|nn|laptop charger ka pin tedha hai, fit nahi ho raha
d046|u|pro|nn|port mein charger nahi lag raha, pin bent hai
