# family|sentiment|persona|tags|text
n041|u|gen|nn|2 baje main ghar pe hi tha par koi delivery nahi hui
n042|n|gen|-|delivery boy ne parcel khud rakh liya lagta hai, strict action lo
n042|n|gen|-|mujhe lagta hai rider ne chura liya parcel, bekar hiring
n043|u|sk|mx|parcel nahi mila, invoice mein receiving sign kiska hai check karke batao
n043|u|sk|mx|maal receive nahi hua, jo receipt pe sign hai woh bhejo
n044|p|el|ng|koi naraazgi nahi hai beta, bas saman nahi mila, dekh lena
n044|p|el|ng|hum gussa nahi hain, aap log acche ho, bas parcel nahi mila
n045|u|gen|-|tracking bolta hai delivered to security, security ke paas nahi hai
n045|u|gen|-|security desk pe diya bola, register mein entry nahi hai
n046|n|pro|af|important documents the parcel mein, delivered bolke gayab, bahut tension hai
n046|n|pro|-|office documents ka parcel missing hai, ye bahut serious lapse hai
n047|u|gen|ns|abhi escalate mat karo, pehle delivery boy se pooch lo kahan diya
n047|u|gen|ns|complaint mat daalo abhi, rider se confirm karo parcel kisko diya
n048|u|st|nn|delivered bola par mere naam ka koi parcel hostel register mein nahi hai
n048|u|st|nn|register mein entry nahi hai aur parcel bhi nahi mila
