# family|sentiment|persona|tags|text
t029|u|gen|mx|order ka status batao aur invoice bhi mail kar do
t029|u|gen|mx|parcel kahan hai aur bill ki copy bhi chahiye
t030|p|st|af|parcel ek din pehle aa raha hai, khushi ho rahi hai 😄 exact time bata do
t030|p|st|-|wah early delivery, kitne baje tak aayega bro
t031|n|sk|-|dukaan band karke 3 ghante se baitha hu delivery ke liye, koi nahi aaya
t031|n|sk|af|poora din barbaad, delivery aayi hi nahi, gussa aa raha hai
t032|u|gen|ns|delivery boy ko call mat karne dena, bas gate pe chhod de, abhi kahan hai
t032|u|gen|ns|call mat karwana baby so raha hai, delivery kitni der mein hogi
t033|u|el|-|kya aaj ravivaar ko bhi delivery hoti hai
t033|u|el|-|ravivaar ko saman aayega ya somvaar ko
t034|n|gen|-|tracking mein "delivered to neighbour" likha hai par kaunsa neighbour, koi nahi batata
t034|n|gen|-|kis padosi ko diya, naam tak nahi, bakwaas tracking
t035|p|gen|pr|packing hamesha solid hoti hai, bas ye order kab dispatch hoga
t035|p|gen|pr|pichhli delivery mast thi 🙌 is order ka dispatch date kya hai
t036|u|gen|nn|order ship hua ya nahi, mail nahi aaya koi
t036|u|gen|nn|dispatch ka koi sms nahi mila, check kar do
t037|n|ar|-|customer care ko 7 call, 7 alag jawab, parcel ka koi pata nahi
t037|n|ar|af|har agent alag kahani sunata hai, irritate ho gaya hu
t038|u|pro|-|international shipment hai, customs clearance mein kitna time lagega
t038|u|pro|-|customs pe atka hai kya parcel, clearance status batao
t039|p|hw|ng|koi pareshani nahi, bas kal pooja hai, uske pehle aa jayega na
t039|p|hw|ng|sab theek hai, bas confirm karna tha ki pooja ka saman kal tak aa jayega
t040|u|st|-|parcl kab aayga
t040|u|st|-|ordr kaha pohcha
t040|u|st|-|mera saman kab aaega bhaiya
t041|n|gen|-|map pe delivery boy ulta ja raha hai, ye kya chal raha hai
t041|n|gen|-|live location mein rider doosri taraf ja raha, time waste kar rahe ho
t042|u|gen|ns|address change mat karna, wahi purana sahi hai, bas delivery date batao
t042|u|gen|ns|mujhe address update nahi karna, sirf ETA chahiye
t043|p|gen|af|tracking dekh ke chinta door ho gayi, bas ek baar confirm kar do shaam tak aayega
t043|p|gen|af|location dekh ke sukoon mila, kitne minute aur
t044|n|el|-|beta 10 din ho gaye, dawai ka parcel nahi aaya, kya karein
t044|n|el|af|dawai ka intezaar hai aur parcel ka kuch pata nahi, bahut chinta ho rahi hai
t045|u|sk|mx|parcel kahan hai aur COD mein change milega na delivery boy ke paas
t045|u|sk|mx|delivery kab tak aur cash ka change le ke aana bhaiya ko bol dena
t046|u|gen|-|pin code 110092 mein delivery kab tak hoti hai usually
t046|u|gen|-|mere area mein delivery kitne din leti hai
t047|n|ar|-|express delivery ke extra paise liye aur normal se bhi late 😤
t047|n|ar|-|express ka charge liya fir bhi 5 din, ye loot hai
t048|p|pro|pr|customer support hamesha helpful hai, is shipment ka tracking link resend kar dijiye
t048|p|pro|pr|aapki team bahut responsive hai, tracking mail dobara bhej dijiye please
t049|u|gen|nn|delivery attempt failed likha hai par koi aaya hi nahi, ab kab aayega
t049|u|gen|nn|attempted likha hai jabki main ghar pe tha, next attempt kab hai
t050|n|gen|-|attempt failed jhooth likha, koi bell tak nahi bajayi, shameful
t050|n|gen|af|jhootha failed attempt likh diya, khoon khaul raha hai
t051|u|st|-|parcel aaj aayega ya kal, clg jana hai
t051|u|st|-|delivery aaj hogi kya, college ke liye nikalna hai
t052|p|gen|ng|koi jaldi nahi hai, aaram se bhejo, bas approximate date bata do
t052|p|gen|ng|tension nahi hai delivery ki, bas pata chal jaye kab tak aayega, thanks
t053|u|hw|-|gas cylinder wala order kab tak aayega
t053|u|hw|-|cylinder book kiya tha, delivery ka time batao
t054|n|sk|-|3 hafte se shipment gayab, supplier ko kya jawab du
t054|n|sk|af|supplier baar baar pooch raha, main khud nirash hu, parcel kahan hai
t055|u|pro|ns|refund ya replacement ki baat nahi kar raha, sirf delivery status chahiye
t055|u|pro|ns|escalation nahi chahiye abhi, bas latest tracking update de dijiye
t056|p|st|-|thanks for the quick dispatch, kal tak aa jayega na
t056|p|st|-|jaldi dispatch karne ke liye shukriya, delivery date confirm karo
t057|n|gen|-|tracking page pe har baar "something went wrong", status kaise dekhu
t057|n|gen|-|app ka tracking page crash ho raha hai, bekar app
t058|u|el|-|bhaiya humara parcel gaon mein aayega ya shehar ke post office mein lena padega
t058|u|el|-|gaon tak delivery hogi ya daak ghar se lena hai
t059|u|gen|mx|delivery kab hai, aur ek item cancel karna ho toh abhi kar sakte hain kya
t059|u|gen|mx|parcel ka status batao, extra item baad mein cancel karunga
t060|n|gen|af|delivery ki wajah se chutti leni padi aur koi aaya nahi, bahut khinn hu
t060|n|gen|-|chutti leke baitha, delivery nahi aayi, paisa bhi gaya din bhi
t061|p|hw|af|pichhli baar delivery bhaiya ne saman upar tak pahunchaya, mann khush hua, aaj kab aayenge
t061|p|hw|-|aapke delivery bhaiya bahut acche hain, aaj ka order kitne baje tak aayega
t062|u|gen|nn|koi update nahi aaya subah se, order kahan hai
t062|u|gen|nn|na sms na mail, parcel ka status kya hai
