# family|sentiment|persona|tags|text
f032|u|pro|ns|koi ticket mat kholo, ye sirf ek suggestion hai checkout ke baare mein
f033|n|sk|-|seller support team kabhi phone nahi uthati, bahut bura experience
f033|n|sk|-|seller helpline hamesha busy, chhote business ki koi sunwai nahi
f034|p|el|ng|koi takleef nahi hui order karne mein, bahut aasan hai
f034|p|el|ng|humein bhi bina dikkat order karna aa gaya, shabash
f035|u|gen|-|delivery wale ka naam aur rating dikhni chahiye
f035|u|gen|-|rider ki rating dene ka option add karo
f036|n|gen|-|prime membership liya par koi fayda nahi mila, paisa barbaad
f036|n|gen|af|membership lekar pachhtava ho raha hai, dukhi hu
f037|p|st|-|campus delivery point wala idea badiya hai, thanks
f037|p|st|-|college mein pickup point bana diya, bahut accha kiya
f038|u|hw|nn|recipe section app mein nahi hai, ho toh accha rahega
f038|u|hw|nn|koi recipe ya meal plan feature nahi hai, add kar sakte ho
f039|n|ar|-|aapke app pe ab bharosa nahi raha, har cheez mein jhol
f039|n|ar|-|sab kuch dikhawa hai, service zero
f040|p|gen|af|itne saalon baad bhi quality same, raahat hai ki koi to bharosemand hai
f040|p|gen|-|consistency ke liye thank you, hamesha same quality
f041|u|gen|-|bas bata raha hu ki pichhla experience average tha
f041|u|gen|-|experience theek tha, kuch special nahi
f042|n|gen|-|cash on delivery pe extra charge lagana galat hai
f042|n|gen|-|COD fee kyun, ye customers ke saath anyaay hai
f043|p|pro|pr|excellent service overall 👏 ek feedback: invoice download ka button easily dikhe
f043|p|pro|pr|bahut smooth experience, bas order history mein search add kar dijiye
f044|u|sk|-|dukaan ke liye monthly credit ka option aana chahiye
f044|u|sk|-|regular kharidne walon ko udhaar limit do, suggestion hai
f045|n|el|-|hamare jaise budhe logon ke liye koi madad nahi, sab machine se baat
f045|n|el|af|phone pe insaan nahi milta, bahut khinn hoti hai
f046|p|hw|ng|kuch bhi kharab nahi aaya is mahine, sab badhiya
f046|p|hw|ng|ek bhi sadi sabzi nahi thi, shukriya
f047|u|gen|mx|feedback dena tha, aur haan pichhle order ka bill bhi bhej dena
f047|u|gen|mx|suggestion hai ki bill auto mail ho, abhi wala bhi bhej do
f048|n|st|-|cashback ka wada karke diya nahi, ye marketing jhooth hai
f048|n|st|-|cashback kabhi aata hi nahi, fake offers
f049|p|gen|-|five star dunga, sab kuch ekdum sahi
f049|p|gen|-|10 mein 10, bahut badiya kaam
f050|u|gen|nn|app theek hai, bas search results sahi nahi aate
f050|u|gen|nn|search mein sahi product nahi dikhte, baaki theek hai
f051|n|gen|af|delivery wale ne parcel phenk ke diya, dekh ke bura laga
f051|n|gen|-|saman phenk ke dena koi tareeka hai, behaviour sudharo
f052|p|el|af|beta aap sabki seva se bahut santusht hain
f052|p|el|-|aap logon ka kaam dekh ke accha lagta hai, jeete raho
